iter	Logloss
0	0.667697793
1	0.6311642811
2	0.6094255285
3	0.591801941
4	0.5766292619
5	0.5641580253
6	0.5508769514
7	0.5414418477
8	0.531509103
9	0.5212256951
10	0.5135878011
11	0.5042392663
12	0.4985177536
13	0.4908415927
14	0.4839372024
15	0.4731028419
16	0.4696796353
17	0.465577706
18	0.461825692
19	0.4586251758
20	0.4556891362
21	0.4526321991
22	0.4502518371
23	0.4478876515
24	0.4459851555
25	0.4436447635
26	0.4411013152
27	0.4365121806
28	0.4344830148
29	0.4323666
30	0.4312198081
31	0.4298846811
32	0.4286790357
33	0.4269763925
34	0.4258943702
35	0.4248741226
36	0.421872899
37	0.4207676201
38	0.4198675486
39	0.418779305
40	0.4163758494
41	0.4153069217
42	0.4146987105
43	0.4137989596
44	0.4132758186
45	0.4113792569
46	0.4106147375
47	0.4099936679
48	0.4092679978
49	0.4087875612
50	0.4079022344
51	0.4071300651
52	0.4066791774
53	0.4060030113
54	0.4051821441
55	0.4043906724
56	0.4036189419
57	0.4026849356
58	0.4022370613
59	0.401884967
60	0.4015059999
61	0.4011256336
62	0.4006684758
63	0.4002829301
64	0.3995702528
65	0.3992763575
66	0.3990554867
67	0.3987684169
68	0.398025159
69	0.3977271615
70	0.397219571
71	0.3969046974
72	0.3968913739
73	0.3966181777
74	0.3960704452
75	0.3956574843
76	0.3947814012
77	0.3944596435
78	0.3939865512
79	0.3931202865
80	0.3927617936
81	0.3922618986
82	0.3919749499
83	0.3917571495
84	0.3915554834
85	0.3912652374
86	0.3908075713
87	0.3903845899
88	0.3901682233
89	0.3898064798
90	0.3895361866
91	0.3892395974
92	0.3889553799
93	0.3885960439
94	0.3882190481
95	0.3880364634
96	0.387751097
97	0.3874434929
98	0.3871504012
99	0.38686011
100	0.3865484174
101	0.3860254868
102	0.3859460394
103	0.3852502571
104	0.3847052165
105	0.3843933653
106	0.3840683423
107	0.3837696083
108	0.3835174384
109	0.3831549653
110	0.3829051392
111	0.3826643042
112	0.3822078189
113	0.3819409683
114	0.3816886609
115	0.3813729777
116	0.3810579011
117	0.3807004494
118	0.3803757301
119	0.3801688237
120	0.3800220634
121	0.3795920479
122	0.3793826498
123	0.3792083948
124	0.379006179
125	0.3787323385
126	0.3784750948
127	0.3780797305
128	0.3778149408
129	0.3775477397
130	0.3773832637
131	0.3771433716
132	0.3768999466
133	0.3765742955
134	0.3763703561
135	0.3761400162
136	0.3758316815
137	0.375697645
138	0.3753712657
139	0.3748841302
140	0.3746082525
141	0.37434146
142	0.3740529491
143	0.3736107238
144	0.3732460721
145	0.3729815247
146	0.3726705809
147	0.3723100985
148	0.3718640207
149	0.3716493788
150	0.3715037753
151	0.3712766064
152	0.3710198851
153	0.3707241632
154	0.3703474483
155	0.3700182672
156	0.3693988515
157	0.3692168111
158	0.3689914523
159	0.3687151324
160	0.3682903618
161	0.3678491874
162	0.3674647456
163	0.3670814761
164	0.3669073717
165	0.3666288641
166	0.366419716
167	0.3660648931
168	0.3659363035
169	0.3657167866
170	0.3654497329
171	0.3648177009
172	0.3644915752
173	0.3642984928
174	0.3640329913
175	0.3636588708
176	0.3632689067
177	0.3628810416
178	0.3624768915
179	0.3623150588
180	0.3621189109
181	0.3618221872
182	0.3617275359
183	0.3614095127
184	0.3611133161
185	0.3609833504
186	0.3606930887
187	0.3601141844
188	0.3598399635
189	0.359459995
190	0.359142571
191	0.3587435923
192	0.358347333
193	0.3579159028
194	0.3576321485
195	0.3571794318
196	0.3568180052
197	0.3565117934
198	0.3559998933
199	0.3558170739
200	0.3554951082
201	0.3551182294
202	0.3547470233
203	0.3545028923
204	0.3540301105
205	0.3536466828
206	0.3531922964
207	0.3527561264
208	0.352499289
209	0.352186063
210	0.3518816046
211	0.3515365687
212	0.3512873623
213	0.3507711653
214	0.3504662168
215	0.3502223137
216	0.3498726702
217	0.3496590449
218	0.3492426115
219	0.3487357577
220	0.3484900012
221	0.3480442327
222	0.3477013997
223	0.3472779419
224	0.346689761
225	0.3463074535
226	0.3460843857
227	0.3457404382
228	0.3453818423
229	0.3449344239
230	0.3445664615
231	0.3441899944
232	0.3439851538
233	0.3436868285
234	0.3433870179
235	0.3428595736
236	0.3425268934
237	0.3421045792
238	0.3417781488
239	0.341408316
240	0.3409658729
241	0.3407271273
242	0.3405522624
243	0.3402022715
244	0.339966325
245	0.3397617721
246	0.3394162202
247	0.3391339725
248	0.3388210109
249	0.3385888494
250	0.3380941568
251	0.3377892754
252	0.3376325535
253	0.337461936
254	0.337061366
255	0.3368010897
256	0.3364207948
257	0.3359857166
258	0.3357259301
259	0.3352649483
260	0.3349272588
261	0.3346637286
262	0.3344250146
263	0.3341237011
264	0.3337670866
265	0.3335184
266	0.3331773188
267	0.3328765073
268	0.3325169115
269	0.3321780111
270	0.3316625203
271	0.3313140324
272	0.3309614066
273	0.3307697644
274	0.3304862008
275	0.330243721
276	0.3298948899
277	0.3296562101
278	0.3294010142
279	0.3290677646
280	0.3287107586
281	0.3284531408
282	0.328126042
283	0.3279329923
284	0.3276146114
285	0.3272775302
286	0.3270021097
287	0.3267414536
288	0.3263026351
289	0.3259950335
290	0.3256998819
291	0.325310212
292	0.3251672091
293	0.3248630241
294	0.3245959974
295	0.3244273403
296	0.3241916436
297	0.323757108
298	0.3234019616
299	0.3231983104
