,AUC_CV,AUC_Test,F1_Test,Recall_Test,Precision_Test,AP_Test
Logistic_Regression,0.8767893993438074,0.8743141745878578,0.6022099447513812,0.7384823848238482,0.5083955223880597,0.6667011409635782
Random_Forest,0.8786938861768696,0.8741052843679868,0.6086956521739131,0.7113821138211383,0.5319148936170213,0.6279370319227118
Gradient_Boosting,0.8872510949145944,0.887133656466169,0.634508348794063,0.6951219512195121,0.5836177474402731,0.6883539161205222
XGBoost,0.8851570950506945,0.8888717894682358,0.6424682395644283,0.7195121951219512,0.580327868852459,0.6955902093827506
LightGBM,0.8838225932076487,0.8884798892327258,0.6366782006920415,0.7479674796747967,0.5542168674698795,0.6938299778647807
